mass JESUp JESDown

Wprime_WZ_lvjj_M800 2.609 -4.276
Wprime_WZ_lvjj_M900 2.609 -4.276
Wprime_WZ_lvjj_M1000 3.222 -5.358
Wprime_WZ_lvjj_M1100 3.222 -5.358
Wprime_WZ_lvjj_M1200 5.158 -7.155
Wprime_WZ_lvjj_M1300 5.158 -7.155
Wprime_WZ_lvjj_M1400 6.242 -8.445
Wprime_WZ_lvjj_M1500 6.242 -8.445
Wprime_WZ_lvjj_M1600 7.388 -8.469
Wprime_WZ_lvjj_M1700 7.388 -8.469
Wprime_WZ_lvjj_M1800 7.940 -10.540
Wprime_WZ_lvjj_M1900 7.940 -10.540
Wprime_WZ_lvjj_M2000 8.324 -9.582
Wprime_WZ_lvjj_M2100 8.324 -9.582
Wprime_WZ_lvjj_M2200 8.324 -9.582
Wprime_WZ_lvjj_M2300 8.324 -9.582
Wprime_WZ_lvjj_M2400 8.324 -9.582
Wprime_WZ_lvjj_M2500 9.455 -11.616
Wprime_WZ_lvjj_M2600 9.455 -11.616
Wprime_WZ_lvjj_M2700 9.455 -11.616
Wprime_WZ_lvjj_M2800 9.455 -11.616
Wprime_WZ_lvjj_M2900 9.455 -11.616
Wprime_WZ_lvjj_M3000 8.307 -10.765
Wprime_WZ_lvjj_M3100 8.307 -10.765
Wprime_WZ_lvjj_M3200 8.307 -10.765
Wprime_WZ_lvjj_M3300 8.307 -10.765
Wprime_WZ_lvjj_M3400 8.307 -10.765
Wprime_WZ_lvjj_M3500 8.319 -10.580
Wprime_WZ_lvjj_M3600 8.319 -10.580
Wprime_WZ_lvjj_M3700 8.319 -10.580
Wprime_WZ_lvjj_M3800 8.319 -10.580
Wprime_WZ_lvjj_M3900 8.319 -10.580
Wprime_WZ_lvjj_M4000 6.972 -10.253
Wprime_WZ_lvjj_M4100 6.972 -10.253
Wprime_WZ_lvjj_M4200 6.972 -10.253
Wprime_WZ_lvjj_M4300 6.972 -10.253
Wprime_WZ_lvjj_M4400 6.972 -10.253
Wprime_WZ_lvjj_M4500 5.497 -9.780
BulkG_WW_lvjj_M800 0.050 -0.101
BulkG_WW_lvjj_M900 0.050 -0.101
BulkG_WW_lvjj_M1000 0.050 -0.101
BulkG_WW_lvjj_M1100 0.050 -0.101
BulkG_WW_lvjj_M1200 0.345 -0.368
BulkG_WW_lvjj_M1300 0.345 -0.368
BulkG_WW_lvjj_M1400 0.408 -0.666
BulkG_WW_lvjj_M1500 0.408 -0.666
BulkG_WW_lvjj_M1600 0.542 -1.043
BulkG_WW_lvjj_M1700 0.542 -1.043
BulkG_WW_lvjj_M1800 0.692 -1.038
BulkG_WW_lvjj_M1900 0.692 -1.038
BulkG_WW_lvjj_M2000 0.921 -1.267
BulkG_WW_lvjj_M2100 0.921 -1.267
BulkG_WW_lvjj_M2200 0.921 -1.267
BulkG_WW_lvjj_M2300 0.921 -1.267
BulkG_WW_lvjj_M2400 0.921 -1.267
BulkG_WW_lvjj_M2500 1.088 -1.326
BulkG_WW_lvjj_M2600 1.088 -1.326
BulkG_WW_lvjj_M2700 1.088 -1.326
BulkG_WW_lvjj_M2800 1.088 -1.326
BulkG_WW_lvjj_M2900 1.088 -1.326
BulkG_WW_lvjj_M3000 1.031 -1.625
BulkG_WW_lvjj_M3100 1.031 -1.625
BulkG_WW_lvjj_M3200 1.031 -1.625
BulkG_WW_lvjj_M3300 1.031 -1.625
BulkG_WW_lvjj_M3400 1.031 -1.625
BulkG_WW_lvjj_M3500 1.158 -1.841
BulkG_WW_lvjj_M3600 1.158 -1.841
BulkG_WW_lvjj_M3700 1.158 -1.841
BulkG_WW_lvjj_M3800 1.158 -1.841
BulkG_WW_lvjj_M3900 1.158 -1.841
BulkG_WW_lvjj_M4000 1.341 -1.599
BulkG_WW_lvjj_M4100 1.341 -1.599
BulkG_WW_lvjj_M4200 1.341 -1.599
BulkG_WW_lvjj_M4300 1.341 -1.599
BulkG_WW_lvjj_M4400 1.341 -1.599
BulkG_WW_lvjj_M4500 0.985 -1.758
