mass JESUp JESDown

Wprime_WZ_lvjj_M800 2.609 -4.276
Wprime_WZ_lvjj_M900 2.609 -4.276
Wprime_WZ_lvjj_M1000 3.222 -5.358
Wprime_WZ_lvjj_M1100 3.222 -5.358
Wprime_WZ_lvjj_M1200 5.158 -7.155
Wprime_WZ_lvjj_M1300 5.158 -7.155
Wprime_WZ_lvjj_M1400 6.242 -8.445
Wprime_WZ_lvjj_M1500 6.242 -8.445
Wprime_WZ_lvjj_M1600 7.388 -8.469
Wprime_WZ_lvjj_M1700 7.388 -8.469
Wprime_WZ_lvjj_M1800 7.940 -10.540
Wprime_WZ_lvjj_M1900 7.940 -10.540
Wprime_WZ_lvjj_M2000 8.324 -9.582
Wprime_WZ_lvjj_M2100 8.324 -9.582
Wprime_WZ_lvjj_M2200 8.324 -9.582
Wprime_WZ_lvjj_M2300 8.324 -9.582
Wprime_WZ_lvjj_M2400 8.324 -9.582
Wprime_WZ_lvjj_M2500 9.455 -11.616
Wprime_WZ_lvjj_M2600 9.455 -11.616
Wprime_WZ_lvjj_M2700 9.455 -11.616
Wprime_WZ_lvjj_M2800 9.455 -11.616
Wprime_WZ_lvjj_M2900 9.455 -11.616
Wprime_WZ_lvjj_M3000 8.307 -10.765
Wprime_WZ_lvjj_M3100 8.307 -10.765
Wprime_WZ_lvjj_M3200 8.307 -10.765
Wprime_WZ_lvjj_M3300 8.307 -10.765
Wprime_WZ_lvjj_M3400 8.307 -10.765
Wprime_WZ_lvjj_M3500 8.319 -10.580
Wprime_WZ_lvjj_M3600 8.319 -10.580
Wprime_WZ_lvjj_M3700 8.319 -10.580
Wprime_WZ_lvjj_M3800 8.319 -10.580
Wprime_WZ_lvjj_M3900 8.319 -10.580
Wprime_WZ_lvjj_M4000 6.972 -10.253
Wprime_WZ_lvjj_M4100 6.972 -10.253
Wprime_WZ_lvjj_M4200 6.972 -10.253
Wprime_WZ_lvjj_M4300 6.972 -10.253
Wprime_WZ_lvjj_M4400 6.972 -10.253
Wprime_WZ_lvjj_M4500 5.497 -9.780
BulkG_WW_lvjj_M800 16.054 -14.539
BulkG_WW_lvjj_M900 16.054 -14.539
BulkG_WW_lvjj_M1000 16.054 -14.539
BulkG_WW_lvjj_M1100 16.054 -14.539
BulkG_WW_lvjj_M1200 22.645 -20.516
BulkG_WW_lvjj_M1300 22.645 -20.516
BulkG_WW_lvjj_M1400 28.689 -23.002
BulkG_WW_lvjj_M1500 28.689 -23.002
BulkG_WW_lvjj_M1600 28.401 -23.740
BulkG_WW_lvjj_M1700 28.401 -23.740
BulkG_WW_lvjj_M1800 29.929 -25.266
BulkG_WW_lvjj_M1900 29.929 -25.266
BulkG_WW_lvjj_M2000 30.934 -26.772
BulkG_WW_lvjj_M2100 30.934 -26.772
BulkG_WW_lvjj_M2200 30.934 -26.772
BulkG_WW_lvjj_M2300 30.934 -26.772
BulkG_WW_lvjj_M2400 30.934 -26.772
BulkG_WW_lvjj_M2500 32.890 -25.568
BulkG_WW_lvjj_M2600 32.890 -25.568
BulkG_WW_lvjj_M2700 32.890 -25.568
BulkG_WW_lvjj_M2800 32.890 -25.568
BulkG_WW_lvjj_M2900 32.890 -25.568
BulkG_WW_lvjj_M3000 32.701 -23.783
BulkG_WW_lvjj_M3100 32.701 -23.783
BulkG_WW_lvjj_M3200 32.701 -23.783
BulkG_WW_lvjj_M3300 32.701 -23.783
BulkG_WW_lvjj_M3400 32.701 -23.783
BulkG_WW_lvjj_M3500 28.723 -24.956
BulkG_WW_lvjj_M3600 28.723 -24.956
BulkG_WW_lvjj_M3700 28.723 -24.956
BulkG_WW_lvjj_M3800 28.723 -24.956
BulkG_WW_lvjj_M3900 28.723 -24.956
BulkG_WW_lvjj_M4000 27.168 -22.574
BulkG_WW_lvjj_M4100 27.168 -22.574
BulkG_WW_lvjj_M4200 27.168 -22.574
BulkG_WW_lvjj_M4300 27.168 -22.574
BulkG_WW_lvjj_M4400 27.168 -22.574
BulkG_WW_lvjj_M4500 18.407 -19.408
