mass JESUp JESDown

Wprime_WZ_lvjj_M800 2.389 -3.828
Wprime_WZ_lvjj_M900 2.389 -3.828
Wprime_WZ_lvjj_M1000 3.107 -4.623
Wprime_WZ_lvjj_M1100 3.107 -4.623
Wprime_WZ_lvjj_M1200 4.901 -6.702
Wprime_WZ_lvjj_M1300 4.901 -6.702
Wprime_WZ_lvjj_M1400 6.080 -7.433
Wprime_WZ_lvjj_M1500 6.080 -7.433
Wprime_WZ_lvjj_M1600 6.191 -9.237
Wprime_WZ_lvjj_M1700 6.191 -9.237
Wprime_WZ_lvjj_M1800 7.126 -9.055
Wprime_WZ_lvjj_M1900 7.126 -9.055
Wprime_WZ_lvjj_M2000 8.436 -10.040
Wprime_WZ_lvjj_M2100 8.436 -10.040
Wprime_WZ_lvjj_M2200 8.436 -10.040
Wprime_WZ_lvjj_M2300 8.436 -10.040
Wprime_WZ_lvjj_M2400 8.436 -10.040
Wprime_WZ_lvjj_M2500 8.841 -11.553
Wprime_WZ_lvjj_M2600 8.841 -11.553
Wprime_WZ_lvjj_M2700 8.841 -11.553
Wprime_WZ_lvjj_M2800 8.841 -11.553
Wprime_WZ_lvjj_M2900 8.841 -11.553
Wprime_WZ_lvjj_M3000 8.734 -11.093
Wprime_WZ_lvjj_M3100 8.734 -11.093
Wprime_WZ_lvjj_M3200 8.734 -11.093
Wprime_WZ_lvjj_M3300 8.734 -11.093
Wprime_WZ_lvjj_M3400 8.734 -11.093
Wprime_WZ_lvjj_M3500 7.877 -10.800
Wprime_WZ_lvjj_M3600 7.877 -10.800
Wprime_WZ_lvjj_M3700 7.877 -10.800
Wprime_WZ_lvjj_M3800 7.877 -10.800
Wprime_WZ_lvjj_M3900 7.877 -10.800
Wprime_WZ_lvjj_M4000 7.951 -10.464
Wprime_WZ_lvjj_M4100 7.951 -10.464
Wprime_WZ_lvjj_M4200 7.951 -10.464
Wprime_WZ_lvjj_M4300 7.951 -10.464
Wprime_WZ_lvjj_M4400 7.951 -10.464
Wprime_WZ_lvjj_M4500 5.758 -10.005
BulkG_WW_lvjj_M800 0.093 -0.414
BulkG_WW_lvjj_M900 0.093 -0.414
BulkG_WW_lvjj_M1000 0.093 -0.414
BulkG_WW_lvjj_M1100 0.093 -0.414
BulkG_WW_lvjj_M1200 0.511 -0.745
BulkG_WW_lvjj_M1300 0.511 -0.745
BulkG_WW_lvjj_M1400 0.659 -0.847
BulkG_WW_lvjj_M1500 0.659 -0.847
BulkG_WW_lvjj_M1600 0.849 -0.977
BulkG_WW_lvjj_M1700 0.849 -0.977
BulkG_WW_lvjj_M1800 1.032 -1.006
BulkG_WW_lvjj_M1900 1.032 -1.006
BulkG_WW_lvjj_M2000 0.921 -1.143
BulkG_WW_lvjj_M2000 0.921 -1.143
BulkG_WW_lvjj_M2100 0.921 -1.143
BulkG_WW_lvjj_M2200 0.921 -1.143
BulkG_WW_lvjj_M2300 0.921 -1.143
BulkG_WW_lvjj_M2400 0.921 -1.143
BulkG_WW_lvjj_M2500 1.135 -1.476
BulkG_WW_lvjj_M2600 1.135 -1.476
BulkG_WW_lvjj_M2700 1.135 -1.476
BulkG_WW_lvjj_M2800 1.135 -1.476
BulkG_WW_lvjj_M2900 1.135 -1.476
BulkG_WW_lvjj_M3000 1.318 -1.598
BulkG_WW_lvjj_M3100 1.318 -1.598
BulkG_WW_lvjj_M3200 1.318 -1.598
BulkG_WW_lvjj_M3300 1.318 -1.598
BulkG_WW_lvjj_M3400 1.318 -1.598
BulkG_WW_lvjj_M3500 1.340 -1.540
BulkG_WW_lvjj_M3600 1.340 -1.540
BulkG_WW_lvjj_M3700 1.340 -1.540
BulkG_WW_lvjj_M3800 1.340 -1.540
BulkG_WW_lvjj_M3900 1.340 -1.540
BulkG_WW_lvjj_M4000 1.474 -1.852
BulkG_WW_lvjj_M4100 1.474 -1.852
BulkG_WW_lvjj_M4200 1.474 -1.852
BulkG_WW_lvjj_M4300 1.474 -1.852
BulkG_WW_lvjj_M4400 1.474 -1.852
BulkG_WW_lvjj_M4500 0.841 -1.942
