mass JESUp JESDown

Wprime_WZ_lvjj_M800 2.389 -3.828
Wprime_WZ_lvjj_M900 2.389 -3.828
Wprime_WZ_lvjj_M1000 3.107 -4.623
Wprime_WZ_lvjj_M1100 3.107 -4.623
Wprime_WZ_lvjj_M1200 4.901 -6.702
Wprime_WZ_lvjj_M1300 4.901 -6.702
Wprime_WZ_lvjj_M1400 6.080 -7.433
Wprime_WZ_lvjj_M1500 6.080 -7.433
Wprime_WZ_lvjj_M1600 6.191 -9.237
Wprime_WZ_lvjj_M1700 6.191 -9.237
Wprime_WZ_lvjj_M1800 7.126 -9.055
Wprime_WZ_lvjj_M1900 7.126 -9.055
Wprime_WZ_lvjj_M2000 8.436 -10.040
Wprime_WZ_lvjj_M2100 8.436 -10.040
Wprime_WZ_lvjj_M2200 8.436 -10.040
Wprime_WZ_lvjj_M2300 8.436 -10.040
Wprime_WZ_lvjj_M2400 8.436 -10.040
Wprime_WZ_lvjj_M2500 8.841 -11.553
Wprime_WZ_lvjj_M2600 8.841 -11.553
Wprime_WZ_lvjj_M2700 8.841 -11.553
Wprime_WZ_lvjj_M2800 8.841 -11.553
Wprime_WZ_lvjj_M2900 8.841 -11.553
Wprime_WZ_lvjj_M3000 8.734 -11.093
Wprime_WZ_lvjj_M3100 8.734 -11.093
Wprime_WZ_lvjj_M3200 8.734 -11.093
Wprime_WZ_lvjj_M3300 8.734 -11.093
Wprime_WZ_lvjj_M3400 8.734 -11.093
Wprime_WZ_lvjj_M3500 7.877 -10.800
Wprime_WZ_lvjj_M3600 7.877 -10.800
Wprime_WZ_lvjj_M3700 7.877 -10.800
Wprime_WZ_lvjj_M3800 7.877 -10.800
Wprime_WZ_lvjj_M3900 7.877 -10.800
Wprime_WZ_lvjj_M4000 7.951 -10.464
Wprime_WZ_lvjj_M4100 7.951 -10.464
Wprime_WZ_lvjj_M4200 7.951 -10.464
Wprime_WZ_lvjj_M4300 7.951 -10.464
Wprime_WZ_lvjj_M4400 7.951 -10.464
Wprime_WZ_lvjj_M4500 5.758 -10.005
BulkG_WW_lvjj_M800 14.727 -14.975
BulkG_WW_lvjj_M900 14.727 -14.975
BulkG_WW_lvjj_M1000 14.727 -14.975
BulkG_WW_lvjj_M1100 14.727 -14.975
BulkG_WW_lvjj_M1200 23.499 -22.081
BulkG_WW_lvjj_M1300 23.499 -22.081
BulkG_WW_lvjj_M1400 26.977 -21.818
BulkG_WW_lvjj_M1500 26.977 -21.818
BulkG_WW_lvjj_M1600 29.952 -23.714
BulkG_WW_lvjj_M1700 29.952 -23.714
BulkG_WW_lvjj_M1800 30.867 -25.697
BulkG_WW_lvjj_M1900 30.867 -25.697
BulkG_WW_lvjj_M2000 29.167 -25.588
BulkG_WW_lvjj_M2100 29.167 -25.588
BulkG_WW_lvjj_M2200 29.167 -25.588
BulkG_WW_lvjj_M2300 29.167 -25.588
BulkG_WW_lvjj_M2400 29.167 -25.588
BulkG_WW_lvjj_M2500 29.730 -25.700
BulkG_WW_lvjj_M2600 29.730 -25.700
BulkG_WW_lvjj_M2700 29.730 -25.700
BulkG_WW_lvjj_M2800 29.730 -25.700
BulkG_WW_lvjj_M2900 29.730 -25.700
BulkG_WW_lvjj_M3000 29.796 -26.776
BulkG_WW_lvjj_M3100 29.796 -26.776
BulkG_WW_lvjj_M3200 29.796 -26.776
BulkG_WW_lvjj_M3300 29.796 -26.776
BulkG_WW_lvjj_M3400 29.796 -26.776
BulkG_WW_lvjj_M3500 31.191 -22.936
BulkG_WW_lvjj_M3600 31.191 -22.936
BulkG_WW_lvjj_M3700 31.191 -22.936
BulkG_WW_lvjj_M3800 31.191 -22.936
BulkG_WW_lvjj_M3900 31.191 -22.936
BulkG_WW_lvjj_M4000 26.265 -22.879
BulkG_WW_lvjj_M4100 26.265 -22.879
BulkG_WW_lvjj_M4200 26.265 -22.879
BulkG_WW_lvjj_M4300 26.265 -22.879
BulkG_WW_lvjj_M4400 26.265 -22.879
BulkG_WW_lvjj_M4500 21.391 -20.592
