mass xsecUnc

BulkG_WW_lvjj_M800 0.110
BulkG_WW_lvjj_M900 0.120
BulkG_WW_lvjj_M1000 0.130
BulkG_WW_lvjj_M1100 0.140
BulkG_WW_lvjj_M1200 0.150
BulkG_WW_lvjj_M1300 0.160
BulkG_WW_lvjj_M1400 0.170
BulkG_WW_lvjj_M1500 0.180
BulkG_WW_lvjj_M1600 0.190
BulkG_WW_lvjj_M1700 0.210
BulkG_WW_lvjj_M1800 0.230
BulkG_WW_lvjj_M1900 0.240
BulkG_WW_lvjj_M2000 0.250
BulkG_WW_lvjj_M2100 0.260
BulkG_WW_lvjj_M2200 0.280
BulkG_WW_lvjj_M2300 0.300
BulkG_WW_lvjj_M2400 0.320
BulkG_WW_lvjj_M2500 0.340
BulkG_WW_lvjj_M2600 0.360
BulkG_WW_lvjj_M2700 0.380
BulkG_WW_lvjj_M2800 0.400
BulkG_WW_lvjj_M2900 0.430
BulkG_WW_lvjj_M3000 0.460
BulkG_WW_lvjj_M3100 0.480
BulkG_WW_lvjj_M3200 0.500
BulkG_WW_lvjj_M3300 0.530
BulkG_WW_lvjj_M3400 0.560
BulkG_WW_lvjj_M3500 0.590
BulkG_WW_lvjj_M3600 0.620
BulkG_WW_lvjj_M3700 0.660
BulkG_WW_lvjj_M3800 0.700
BulkG_WW_lvjj_M3900 0.740
BulkG_WW_lvjj_M4000 0.780
BulkG_WW_lvjj_M4100 0.820
BulkG_WW_lvjj_M4200 0.860
BulkG_WW_lvjj_M4300 0.900
BulkG_WW_lvjj_M4400 0.950
BulkG_WW_lvjj_M4500 1.000
Wprime_WZ_lvjj_M1000 0.0419527
Wprime_WZ_lvjj_M1100 0.0437757
Wprime_WZ_lvjj_M1200 0.0437757
Wprime_WZ_lvjj_M1300 0.0460551
Wprime_WZ_lvjj_M1400 0.0460551
Wprime_WZ_lvjj_M1500 0.0483122
Wprime_WZ_lvjj_M1600 0.0483122
Wprime_WZ_lvjj_M1700 0.0483122
Wprime_WZ_lvjj_M1800 0.0483122
Wprime_WZ_lvjj_M1900 0.0543189
Wprime_WZ_lvjj_M2000 0.0543189
Wprime_WZ_lvjj_M2100 0.0543189
Wprime_WZ_lvjj_M2200 0.0543189
Wprime_WZ_lvjj_M2300 0.0655156
Wprime_WZ_lvjj_M2400 0.0655156
Wprime_WZ_lvjj_M2500 0.0655156
Wprime_WZ_lvjj_M2600 0.0655156
Wprime_WZ_lvjj_M2700 0.0846863
Wprime_WZ_lvjj_M2800 0.0846863
Wprime_WZ_lvjj_M2900 0.0846863
Wprime_WZ_lvjj_M3000 0.0846863
Wprime_WZ_lvjj_M3100 0.0846863
Wprime_WZ_lvjj_M3200 0.0846863
Wprime_WZ_lvjj_M3300 0.118175
Wprime_WZ_lvjj_M3400 0.118175
Wprime_WZ_lvjj_M3500 0.118175
Wprime_WZ_lvjj_M3600 0.118175
Wprime_WZ_lvjj_M3700 0.18496
Wprime_WZ_lvjj_M3800 0.18496
Wprime_WZ_lvjj_M3900 0.18496
Wprime_WZ_lvjj_M4000 0.18496
Wprime_WZ_lvjj_M4100 0.18496
Wprime_WZ_lvjj_M4200 0.18496
Wprime_WZ_lvjj_M4300 0.307965
Wprime_WZ_lvjj_M4400 0.307965
Wprime_WZ_lvjj_M4500 0.307965
